id_menage,region,milieu,taille_menage,nb_enfants_moins_15,ratio_dependance,sexe_chef_menage,age_chef_menage,niveau_education_chef,materiau_toit,materiau_mur,source_eau_potable,possede_terre,superficie_terre_ha,nb_bovins,nb_petits_ruminants,nb_volailles,possede_telephone,possede_radio,possede_velo,possede_moto,distance_marche_km,score_consommation_alimentaire,depenses_mensuelles_pc_fcfa,vulnerable
1,Centre-Nord,Rural,8,4,1.0,Femme,51,Primaire,Tole,Brique de ciment,Puits protege/Forage,1,1.84,0,6,7,1,0,1,0,12.7,38,30242.0,0
2,Est,Rural,8,4,1.0,Homme,42,Aucun,Dur (beton/tuile),Banco (terre),Puits protege/Forage,0,0.0,0,1,4,1,1,0,0,6.7,54,24014.0,0
3,Centre-Nord,Urbain,8,3,0.6,Homme,51,Primaire,Tole,Banco (terre),Puits protege/Forage,1,0.35,0,5,7,1,1,0,1,7.0,46,17176.0,0
4,Nord,Urbain,5,3,1.5,Homme,25,Aucun,Chaume/Paille,Brique de ciment,Puits protege/Forage,1,3.34,5,3,2,1,0,1,0,3.8,84,27923.0,0
5,Sahel,Rural,8,5,1.67,Homme,34,Primaire,Chaume/Paille,Banco (terre),Puits protege/Forage,1,2.98,2,6,2,1,1,1,0,8.2,59,25914.0,1
6,Boucle du Mouhoun,Urbain,5,3,1.5,Homme,46,Aucun,Tole,Brique de ciment,Puits non protege,1,0.86,0,4,2,1,1,0,0,4.7,49,24562.0,0
7,Centre-Nord,Rural,6,3,1.0,Homme,18,Primaire,Tole,Banco (terre),Puits non protege,1,0.57,2,2,8,1,1,1,1,11.9,81,26195.0,0
8,Centre-Nord,Rural,11,6,1.2,Femme,41,Primaire,Dur (beton/tuile),Brique de ciment,Puits protege/Forage,0,0.0,0,5,4,1,1,1,0,9.9,46,27649.0,0
9,Sahel,Urbain,7,4,1.33,Femme,40,Secondaire,Tole,Brique de ciment,Puits non protege,1,0.61,1,3,5,1,0,1,1,4.8,61,40117.0,0
10,Est,Rural,11,6,1.2,Femme,41,Superieur,Tole,Brique de ciment,Puits non protege,1,0.44,2,7,9,1,1,1,1,9.0,63,20681.0,0
